                           	P-value
235649_at                  	1.0282e-34
217046_s_at                	2.8006e-33
209904_at                  	3.6334e-33
210081_at                  	1.2182e-32
209470_s_at                	4.1391e-32
201291_s_at                	1.3834e-31
201292_at                  	2.014e-31 
214710_s_at                	4.5928e-31
232122_s_at                	6.0433e-31
203662_s_at                	9.1218e-31
206742_at                  	1.1223e-30
226992_at                  	1.8159e-30
32625_at                   	2.3637e-30
206167_s_at                	4.076e-30 
226627_at                  	1.1784e-29
222608_s_at                	1.7117e-29
219719_at                  	8.4123e-29
228339_at                  	9.8193e-29
218723_s_at                	1.0866e-28
204931_at                  	1.1431e-28
213451_x_at                	1.2605e-28
219866_at                  	1.6087e-28
227419_x_at                	2.0237e-28
225655_at                  	2.1099e-28
202870_s_at                	2.1418e-28
222520_s_at                	3.2035e-28
213900_at                  	4.4462e-28
209469_at                  	4.8045e-28
227780_s_at                	5.5472e-28
227779_at                  	7.1318e-28
238018_at                  	1.1808e-27
225915_at                  	1.2108e-27
206093_x_at                	1.712e-27 
208609_s_at                	1.8837e-27
230132_at                  	2.0755e-27
228967_at                  	2.1159e-27
216333_x_at                	2.8437e-27
213715_s_at                	3.5979e-27
1554408_a_at               	3.6501e-27
209773_s_at                	3.8587e-27
201890_at                  	3.9261e-27
236936_at                  	4.2238e-27
229529_at                  	4.4915e-27
210052_s_at                	4.5205e-27
204273_at                  	4.6151e-27
235670_at                  	5.3112e-27
205952_at                  	6.5613e-27
226397_s_at                	6.9599e-27
219918_s_at                	1.5274e-26
204134_at                  	2.5144e-26
227874_at                  	2.6079e-26
231991_at                  	2.9667e-26
227178_at                  	3.2478e-26
219452_at                  	3.6241e-26
229308_at                  	4.9925e-26
221133_s_at                	5.1416e-26
231947_at                  	5.3303e-26
221132_at                  	6.6222e-26
226028_at                  	6.6842e-26
223229_at                  	6.8898e-26
205384_at                  	7.0185e-26
240890_at                  	8.3076e-26
AFFX-HUMGAPDH/M33197_M_at  	8.4398e-26
204271_s_at                	8.7739e-26
205200_at                  	9.1875e-26
219909_at                  	9.291e-26 
212975_at                  	1.0679e-25
209074_s_at                	1.1138e-25
204719_at                  	1.3136e-25
222738_at                  	1.584e-25 
208079_s_at                	1.6256e-25
225855_at                  	1.9585e-25
235155_at                  	2.1173e-25
223816_at                  	2.1339e-25
235849_at                  	2.166e-25 
210559_s_at                	2.2702e-25
219436_s_at                	2.5004e-25
226856_at                  	2.5268e-25
210550_s_at                	3.2297e-25
229127_at                  	3.2901e-25
226380_at                  	3.3523e-25
206068_s_at                	3.4215e-25
210299_s_at                	3.9962e-25
204825_at                  	6.0282e-25
228766_at                  	6.0399e-25
AFFX-HUMGAPDH/M33197_3_at  	7.5245e-25
228273_at                  	7.9517e-25
206702_at                  	8.1684e-25
206030_at                  	8.3268e-25
238222_at                  	9.6595e-25
202338_at                  	9.9423e-25
202705_at                  	1.0248e-24
224061_at                  	1.0371e-24
209714_s_at                	1.0398e-24
207547_s_at                	1.2127e-24
213103_at                  	1.2885e-24
224428_s_at                	1.3905e-24
206651_s_at                	1.4545e-24
209710_at                  	1.5236e-24
212680_x_at                	1.5401e-24
